word,type,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
arid,adjective,/ˈærɪd/,/ˈærɪd/,excessively dry,Little other than palm trees and cacti grow successfully in arid environments.,"khô cằn, khô hạn, cằn cỗi","desiccated, parched, barren","fertile, lush, humid"
arrogate,verb,/ˈærəɡeɪt/,/ˈærəɡeɪt/,to take without justification,The king arrogated the right to order executions to himself exclusively.,"Chiếm đoạt, Thâu tóm, Độc chiếm","usurp, commandeer, expropriate","relinquish, cede, waive"
artifact,noun,/ˈɑːtɪfækt/,/ˈɑːrtɪfækt/,a remaining piece from an extinct culture or place,The scientists spent all day searching the cave for artifacts from the ancient Mayan civilization.,"hiện vật, cổ vật, di vật","relic, vestige, antiquity","nature, genesis, spontaneity"
artisan,noun,/ˈɑːtɪzæn/,/ˈɑːrtɪzən/,a craftsman,The artisan uses wood to make walking sticks.,"Thợ thủ công, Nghệ nhân","craftsman, master, artificer","amateur, novice, apprentice"
ascertain,verb,/ˌæsəˈteɪn/,/ˌæsərˈteɪn/,"to perceive, learn","With a bit of research, the student ascertained that some plants can live for weeks without water.","xác định, tìm ra, biết được","determine, verify, substantiate","conjecture, surmise, overlook"
ascetic,adjective,/əˈsetɪk/,/əˈsetɪk/,"practicing restraint as a means of self-discipline, usually religious","The priest lives an ascetic life devoid of television, savory foods, and other pleasures.","khổ hạnh, khắc khổ, chay tịnh","austere, abstemious, spartan","hedonistic, voluptuous, indulgent"
ascribe,verb,/əˈskraɪb/,/əˈskraɪb/,"to assign, credit, attribute to",Some ascribe the invention of fireworks and dynamite to the Chinese.,"quy cho, gán cho, cho là của","attribute, impute, credit","discredit, dissociate, detach"
aspersion,noun,/əˈspɜːʃən/,/əˈspɜːrʒən/,"a curse, expression of ill-will",The rival politicians repeatedly cast aspersions on each others' integrity.,"lời phỉ báng, sự vu khống, lời gièm pha","calumny, denigration, disparagement","commendation, eulogy, approbation"
aspire,verb,/əˈspaɪə/,/əˈspaɪər/,"to long for, aim toward",The young poet aspires to publish a book of verse someday.,"khao khát, phấn đấu, ước mơ","endeavor, yearn, long","renounce, forsake, abandon"
assail,verb,/əˈseɪl/,/əˈseɪl/,to attack,"At dawn, the war planes assailed the boats in the harbor.","Tấn công, Tập kích, Công kích","impugn, lambaste, castigate","defend, laud, commend"
assess,verb,/əˈses/,/əˈses/,to evaluate,A crew arrived to assess the damage after the crash.,"đánh giá, ước tính, xác định","appraise, ascertain, gauge","overlook, disregard, dismiss"
assiduous,adjective,/əˈsɪdjuəs/,/əˈsɪdʒuəs/,"hard-working, diligent",The construction workers erected the skyscraper during two years of assiduous labor.,"Cần cù, miệt mài, chăm chỉ","sedulous, meticulous, diligent","indolent, negligent, perfunctory"
assuage,verb,/əˈsweɪdʒ/,/əˈsweɪdʒ/,"to ease, pacify",The mother held the baby to assuage its fears.,"Xoa dịu, làm dịu, trấn an","mitigate, mollify, palliate","exacerbate, inflame, intensify"
astute,adjective,/əˈstjuːt/,/əˈstuːt/,"very clever, crafty",Much of Roger's success in politics results from his ability to provide astute answers to reporters' questions.,"Sắc sảo, khôn ngoan, lanh lợi","sagacious, perspicacious, shrewd","obtuse, credulous, naive"
asylum,noun,/əˈsaɪləm/,/əˈsaɪləm/,"1. a place of refuge, protection, a sanctuary 2. an institution in which the insane are kept","For Thoreau, the forest served as an asylum from the pressures of urban life.","nơi trú ẩn, trại tâm thần","refuge, sanctuary, haven","danger, peril, exposure"
atone,verb,/əˈtəʊn/,/əˈtoʊn/,"to repent, make amends",The man atoned for forgetting his wife's birthday by buying her five dozen roses.,"chuộc lỗi, sám hối, bù đắp","expiate, compensate, redress","offend, transgress, exacerbate"
atrophy,verb,/ˈætrəfi/,/ˈætrəfi/,"to wither away, decay","If muscles do not receive enough blood, they will soon atrophy and die.","teo tóp, teo, teo nhẽo","waste, degenerate, dwindle","flourish, burgeon, strengthen"
attain,verb,/əˈteɪn/,/əˈteɪn/,"to achieve, arrive at",The athletes strived to attain their best times in competition.,"Đạt được, giành được, đạt tới","achieve, procure, accomplish","fail, forfeit, relinquish"
attribute,"verb, noun",/əˈtrɪbjuːt/,/əˈtrɪbjuːt/,"1. to credit, assign 2. a facet or trait",He attributes all of his success to his mother's undying encouragement.,"gán cho, thuộc tính, đặc điểm","ascribe, impute, credit","disclaim, deny, repudiate"
atypical,adjective,/ˌeɪˈtɪpɪkl̩/,/ˌeɪˈtɪpɪkl̩/,"not typical, unusual",Screaming and crying is atypical adult behavior.,"không điển hình, bất thường, khác thường","anomalous, aberrant, uncharacteristic","typical, conventional, representative"
audacious,adjective,/ɔːˈdeɪʃəs/,/ɔːˈdeɪʃəs/,excessively bold,The security guard was shocked by the fan's attempt to offer him a bribe.,"Táo bạo, liều lĩnh, to gan","intrepid, impudent, dauntless","timid, meek, cautious"
audible,adjective,/ˈɔːdəbl̩/,/ˈɔːdəbl̩/,able to be heard,The missing person's shouts were unfortunately not audible.,"Nghe được, có thể nghe được, có thể nghe thấy","discernible, perceptible, detectable","inaudible, imperceptible, muted"
augment,verb,/ɔːɡˈment/,/ɔːɡˈment/,"to add to, expand",The eager student seeks to augment his knowledge of French vocabulary by reading French literature.,"Tăng cường, Mở rộng, Gia tăng","amplify, enhance, proliferate","diminish, curtail, abridge"
auspicious,adjective,/ɔːˈspɪʃəs/,/ɔːˈspɪʃəs/,"favorable, indicative of good things",The tennis player considered the sunny forecast an auspicious sign that she would win her match.,"May mắn, Thuận lợi, Điềm lành","propitious, felicitous, favorable","ominous, inauspicious, unpromising"
austere,adjective,/ɔːˈstɪə/,/ɔːˈstɪr/,"very bare, bleak",The austere furniture inside the abandoned house made the place feel haunted.,"Tiêu điều, trơ trụi, đơn sơ","severe, ascetic, stark","opulent, lavish, ornate"
avarice,noun,/ˈævərɪs/,/ˈævərɪs/,excessive greed,The banker's avarice led him to amass a tremendous personal fortune.,"lòng tham, tham lam, hám lợi","cupidity, greed, rapacity","generosity, philanthropy, liberality"
avenge,verb,/əˈvendʒ/,/əˈvendʒ/,to seek revenge,The victims will take justice into their own hands and strive to avenge themselves against the men who robbed them.,"Trả thù, Báo thù, Báo oán","retaliate, vindicate, requite","forgive, pardon, condone"
aversion,noun,/əˈvɜːʃn/,/əˈvɜːrʒn/,a particular dislike for something,"Because he's from Hawaii, Ben has an aversion to autumn, winter, and cold climates in general.","Sự ác cảm, sự ghét bỏ, sự chán ghét","repugnance, antipathy, distaste","affinity, predilection, fondness"
balk,verb,/bɔːk/,/bɔːk/,"to stop, block abruptly",Edna's boss balked at her request for another raise.,"Từ chối, khước từ, phản đối","recoil, demur, impede","acquiesce, facilitate, advance"
ballad,noun,/ˈbæləd/,/ˈbæləd/,a love song,Greta's boyfriend played her a ballad on the guitar during their walk through the dark woods.,"Bài hát tình yêu, Tình ca, Bản tình ca","ditty, ode, lay","epic, novel, treatise"
banal,adjective,/bəˈnɑːl/,/bəˈnæl/,"dull, commonplace",The client rejected our proposal because they found our presentation banal and unimpressive.,"Tầm thường, nhạt nhẽo, buồn tẻ","hackneyed, trite, prosaic","novel, original, profound"
bane,noun,/beɪn/,/beɪn/,a burden,Advanced physics is the bane of many students' academic lives.,"Gánh nặng, nỗi khổ, ách nặng","curse, anathema, scourge","boon, blessing, panacea"
bard,noun,/bɑːd/,/bɑːrd/,"a poet, often a singer as well",Shakespeare is often considered the greatest bard in the history of the English language.,"Thi sĩ, Nhà thơ","poet, lyricist, minstrel","critic, detractor, philistine"
bashful,adjective,/ˈbæʃfʊl/,/ˈbæʃfəl/,"shy, excessively timid",Frankie's mother told him not to be bashful when he refused to attend the birthday party.,"rụt rè, e thẹn, bẽn lẽn","diffident, reticent, timorous","audacious, brazen, gregarious"
battery,noun,/ˈbætəri/,/ˈbæɾəri/,"1. a device that supplies power 2. assault, beating",Most cars run on a combination of power from a battery and gasoline.,"ắc quy, bình điện, pin
hành hung, đánh đập, tấn công","barrage, onslaught, assault","defense, parry, cessation"
beguile,verb,/bɪˈɡaɪl/,/bɪˈɡaɪl/,"to trick, deceive",The thief beguiled his partners into surrendering all of their money to him.,"Lừa gạt, Đánh lừa, Dụ dỗ","delude, ensnare, mesmerize","enlighten, undeceive, disabuse"
behemoth,noun,/ˈbiːhəmɒθ/,/ˈbiːhəmɑːθ/,something of tremendous power or size,The new aircraft carrier is among several behemoths that the Air Force has added to its fleet.,"Vật khổng lồ, đồ sộ, kẻ khổng lồ","colossus, leviathan, gargantuan","diminutive, pygmy, Lilliputian"
benevolent,adjective,/bɪˈnevələnt/,/bəˈnevələnt/,marked by goodness or doing good,Police officers should be commended for their benevolent service to the community.,"Nhân ái, Nhân đức, Hảo tâm","altruistic, magnanimous, philanthropic","malevolent, avaricious, callous"
benign,adjective,/bɪˈnaɪn/,/bɪˈnaɪn/,"favorable, not threatening, mild",We were all relieved to hear that the medical tests determined her tumor to be benign.,"lành tính, không ác tính","innocuous, amiable, gentle","malignant, virulent, noxious"
bequeath,verb,/bɪˈkwiːð/,/bɪˈkwiːð/,"to pass on, give",Jon's father bequeathed his entire estate to his mother.,"để lại, truyền lại","cede, transmit, entrust","inherit, receive, acquire"
berate,verb,/bɪˈreɪt/,/bɪˈreɪt/,to scold vehemently,The angry boss berated his employees for failing to meet their deadline.,"mắng mỏ, la rầy, quở trách","admonish, castigate, lambaste","commend, laud, extol"
bereft,adjective,/bɪˈreft/,/bɪˈreft/,"devoid of, without",His family was bereft of food and shelter following the tornado.,"Thiếu thốn, trắng tay, túng thiếu","divested, denuded, despoiled","replete, endowed, abounding"
beseech,verb,/bɪˈsiːtʃ/,/bɪˈsiːtʃ/,"to beg, plead, implore",The servant beseeched the king for food to feed his starving family.,"Cầu xin, Van xin, Khẩn cầu","supplicate, importune, implore","command, demand, insist"
bias,noun,/ˈbaɪəs/,/ˈbaɪəs/,"a tendency, inclination, prejudice",The judge's hidden bias against smokers led him to make an unfair decision.,"thiên vị, thành kiến, định kiến","prejudice, partiality, predilection","impartiality, objectivity, neutrality"
bilk,verb,/bɪlk/,/bɪlk/,"cheat, defraud",The lawyer discovered that this firm had bilked several clients out of thousands of dollars.,"Lừa đảo, lừa gạt, chiếm đoạt","defraud, swindle, fleece","recompense, reimburse, remunerate"
blandish,verb,/ˈblændɪʃ/,/ˈblændɪʃ/,to coax by using flattery,Rachel's assistant tried to blandish her into accepting the deal.,"nịnh nọt, dỗ ngọt, ve vãn","cajole, wheedle, inveigle","dissuade, deter, discourage"
blemish,noun,/ˈblemɪʃ/,/ˈblemɪʃ/,"an imperfection, flaw",The dealer agreed to lower the price because of the many blemishes on the surface of the wooden furniture.,"Tì vết, Khuyết điểm, Vết ố","tarnish, mar, sully","enhance, embellish, purify"
blight,noun,/blaɪt/,/blaɪt/,"1. a plague, disease 2. something that destroys hope",The potato blight destroyed the harvest and bankrupted many families.,"Bệnh dịch, tai họa","mar, spoil, ruin","enrich, enhance, invigorate"
boisterous,adjective,/ˈbɔɪstərəs/,/ˈbɔɪstərəs/,loud and full of energy,The candidate won the vote after giving several boisterous speeches on television.,"Hùng hồn, Sôi nổi, Dõng dạc","tumultuous, raucous, ebullient","tranquil, serene, subdued"
bombastic,adjective,/bɒmˈbæstɪk/,/bɑmˈbæstɪk/,"excessively confident, pompous",The singer's bombastic performance disgusted the crowd.,"Khoa trương, Huênh hoang, Phô trương","grandiloquent, turgid, histrionic","unadorned, concise, understated"
boon,noun,/buːn/,/buːn/,a gift or blessing,The good weather has been a boon for many businesses located near the beach.,"Phúc lành, ân huệ, thuận lợi","godsend, benefaction, windfall","bane, curse, detriment"
bourgeois,noun,/ˈbʊəʒwɑː/,/ˌbʊrˈʒwɑː/,"a middle-class person, capitalist",Many businessmen receive criticism for their bourgeois approach to life.,"Người tư sản, Nhà tư bản, Người trung lưu","conventional, materialistic, provincial","bohemian, unconventional, avant-garde"
brazen,adjective,/ˈbreɪzn/,/ˈbreɪzn/,"excessively bold, brash",Critics condemned the novelist's brazen attempt to plagiarize Hemingway's story.,"Trơ tráo, mặt dày, táo tợn","audacious, impudent, insolent","reserved, demure, diffident"
brusque,adjective,/brʌsk/,/brʌsk/,"short, abrupt, dismissive",The captain's brusque manner offended the passengers.,"cộc lốc, thô lỗ, thiếu lịch sự","curt, terse, blunt","courteous, amiable, elaborate"
buffet,"verb, noun",/ˈbʊfeɪ/,/ˈbʌfeɪ/,1. to strike with force 2. an arrangement of food set out on a table,"The strong winds buffeted the ships, threatening to capsize them.","đánh tới tấp, quật
bữa ăn tự chọn, tiệc đứng, buffet","strike, batter, pummel","protect, shield, safeguard"
burnish,verb,/ˈbɜːnɪʃ/,/ˈbɝːnɪʃ/,"to polish, shine",His mother asked him to burnish the silverware before setting the table.,"Đánh bóng, Làm bóng, Lau bóng","polish, furbish, gleam","dull, tarnish, mar"
