word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
counterpoint,noun,c2,/ˈkaʊntəpɔɪnt/,/ˈkaʊntərpɔɪnt/,"Contrasting item, opposite; a complement; the use of contrast or interplay in a work of art","The bright, optimistic melody served as a cheerful counterpoint to the song's melancholic lyrics.","Đối trọng, Phản đề, Điểm đối ứng","antithesis, foil, juxtaposition","concord, consonance, homogeneity"
counterproductive,adjective,c2,/ˌkaʊntəprəˈdʌktɪv/,/ˌkaʊntərprəˈdʌktɪv/,Defeating the purpose; preventing the intended goal,His constant interruptions proved counterproductive to the team's efforts to reach a consensus.,"Phản tác dụng, Gây bất lợi, Lợi bất cập hại","self-defeating, deleterious, inefficacious","efficacious, conducive, propitious"
covert,adjective,c2,/ˈkəʊvɜːt/,/ˈkoʊvərt/,"Secret, veiled, undercover",The intelligence agency conducted a covert operation to rescue the hostage.,"Bí mật, Ngầm, Kín đáo","surreptitious, clandestine, underhand","overt, manifest, blatant"
crafty,adjective,c2,/ˈkrɑːfti/,/ˈkræfti/,"Cunning, skillful in deception or underhanded schemes",The crafty old merchant always found a way to persuade customers to buy more than they intended.,"Xảo quyệt, Mưu mô, Gian xảo","cunning, wily, machiavellian","guileless, ingenuous, artless"
craven,adjective,c2,/ˈkreɪvən/,/ˈkreɪvən/,"Very cowardly, lacking courage","The craven employee refused to speak up against the injustice, fearing for his job.","Hèn nhát, Nhát gan, Yếu bóng vía","pusillanimous, recreant, timorous","intrepid, valiant, dauntless"
credibility,noun,c2,/ˌkrɛdɪˈbɪlɪti/,/ˌkrɛdəˈbɪlɪti/,"Believability, trustworthiness",The journalist's credibility was questioned after it was revealed that some of her sources were unreliable.,"Uy tín, Độ tin cậy, Sự đáng tin","trustworthiness, reliability, veracity","unreliability, dubiousness, deceitfulness"
credulous,adjective,c2,/ˈkrɛdjʊləs/,/ˈkrɛdʒələs/,Gullible; prone to believing or trusting too easily or without enough evidence,A credulous person is easily tricked by scams and fake news.,"Nhẹ dạ cả tin, Tin người, Dễ tin","ingenuous, impressionable, guileless","incredulous, skeptical, discerning"
crescendo,noun,c2,/krɪˈʃɛndəʊ/,/krəˈʃɛndoʊ/,"Steady increase in force, intensity, or the loudness of a musical passage; a climactic moment or peak","The music built to a dramatic crescendo, thrilling the audience.","Cao trào, Đỉnh điểm, Sự dâng trào","escalation, culmination, apex","diminuendo, wane, abatement"
culminate,verb,c2,/ˈkʌlmɪneɪt/,/ˈkʌlməneɪt/,Reach the highest point or final stage,Years of hard work and dedication will culminate in her graduation from medical school.,"Đạt đến đỉnh điểm, Đi đến cao trào, Kết thúc","climax, consummate, terminate","commence, initiate, originate"
cynical,adjective,c2,/ˈsɪnɪkl/,/ˈsɪnɪkl/,Thinking the worst of others' motivations; bitterly pessimistic,"After many disappointments, he became cynical about the politicians' promises.","bi quan, hoài nghi, cay nghiệt","Misanthropic, Sardonic, Jaded","Idealistic, Sanguine, Credulous"
daunt,verb,c2,/dɔːnt/,/dɔːnt/,"Discourage, dishearten, lessen the courage of","The sheer volume of work might daunt a less determined student, but she was resolute.","Làm nản lòng, Làm nhụt chí, Làm chùn bước","intimidate, deter, dishearten","embolden, galvanize, fortify"
debase,verb,c2,/dɪˈbeɪs/,/dɪˈbeɪs/,"Degrade; lower in quality, value, rank, etc.; lower in moral quality",The politician's dishonest actions continued to debase the dignity of his office.,"Hạ thấp, làm suy đồi, làm mất giá","degrade, vitiate, corrupt","elevate, enhance, exalt"
debunk,verb,c2,/dɪˈbʌŋk/,/dɪˈbʌŋk/,"Expose, ridicule, or disprove false or exaggerated claims",Scientists worked to debunk the common myth that bats are blind.,"Lật tẩy, Phản bác, Đập tan","discredit, refute, invalidate","corroborate, substantiate, validate"
decorous,adjective,c2,/ˈdɛkərəs/,/ˈdɛkərəs/,Behaving with propriety and good taste; polite,The audience maintained a decorous silence throughout the somber memorial service.,"Lịch sự, Đứng đắn, Tề chỉnh","seemly, urbane, dignified","indecorous, boorish, unseemly"
deem,verb,c2,/diːm/,/diːm/,Judge; consider,The committee will deem the project successful if it meets all the specified criteria.,"Coi là, Cho là, Đánh giá","regard, adjudge, hold","dismiss, disregard, discount"
deface,verb,c2,/dɪˈfeɪs/,/dɪˈfeɪs/,"Vandalize, mar the appearance of",It is a crime to deface public property with graffiti or other markings.,"Phá hoại, bôi bẩn, làm biến dạng","Disfigure, Mutilate, Desecrate","Adorn, Embellish, Restore"
default,noun,c2,/dɪˈfɔːlt/,/dɪˈfɑːlt/,"Failure to act, neglect (noun); fail to fulfill an obligation, especially a financial one (verb)",The company was forced into bankruptcy after it went into default on its loans.,"vỡ nợ, vi phạm, sơ suất","dereliction, delinquency, non-compliance","compliance, adherence, fulfillment"
deference,noun,c2,/ˈdɛfərəns/,/ˈdɛfərəns/,Respectful submission; yielding to the authority or opinion of another,"Out of deference to the CEO, the employees waited for him to speak first.","Phục tùng, Kính nể, Nhún nhường","reverence, homage, complaisance","insubordination, insolence, contempt"
deflect,verb,c2,/dɪˈflɛkt/,/dɪˈflɛkt/,"Cause to curve; turn aside, esp. from a straight course; avoid",The goalkeeper managed to deflect the ball away from the goal.,"làm chệch hướng, chuyển hướng, né tránh","divert, parry, circumvent","confront, engage, pursue"
deleterious,adjective,c2,/ˌdɛlɪˈtɪəriəs/,/ˌdɛləˈtɪriəs/,"Harmful, unhealthful",Smoking has many deleterious effects on health.,"có hại, độc hại, bất lợi","pernicious, detrimental, noxious","salubrious, propitious, advantageous"
delineate,verb,c2,/dɪˈlɪnɪeɪt/,/dɪˈlɪnieɪt/,Mark the outline of; sketch; describe in detail,The architect was asked to delineate the boundaries of the property on the map.,"Phác thảo, Mô tả chi tiết, Vạch ra","portray, explicate, depict","obfuscate, conceal, generalize"
denigrate,verb,c2,/ˈdɛnɪɡreɪt/,/ˈdɛnɪɡreɪt/,"Belittle, attack the reputation of",It is unprofessional to denigrate a colleague's work in front of the entire team.,"Bôi nhọ, gièm pha, hạ thấp","disparage, vilify, calumniate","extol, laud, venerate"
denote,verb,c2,/dɪˈnəʊt/,/dɪˈnoʊt/,Be a name or symbol for,The color red on the map denotes areas of high population density.,"biểu thị, đại diện cho, biểu trưng cho","represent, signify, indicate","obscure, confound, misrepresent"
deride,verb,c2,/dɪˈraɪd/,/dɪˈraɪd/,"Mock, scoff at, laugh at contemptuously",He was derided by his peers for his old-fashioned clothes and peculiar habits.,"Nhạo báng, giễu cợt, cười nhạo","ridicule, disparage, denigrate","extol, laud, venerate"
derivative,adjective,c2,/dɪˈrɪvətɪv/,/dɪˈrɪvətɪv/,Derived from something else; not original,Critics dismissed the new movie as uninspired and derivative of older sci-fi films.,"Phái sinh, Dẫn xuất, Thứ cấp","imitative, unoriginal, trite","original, innovative, groundbreaking"
desiccate,verb,c2,/ˈdɛsɪkeɪt/,/ˈdɛsɪkeɪt/,"Thoroughly dried up, dehydrated",The hot desert winds can quickly desiccate a traveler if they don't carry enough water.,"Làm khô, làm khô kiệt, làm mất nước","parch, exsiccate, aridify","saturate, drench, humidify"
detached,adjective,c2,/dɪˈtætʃt/,/dɪˈtætʃt/,"Impartial, disinterested; unconcerned, distant, aloof",He tried to remain detached and objective when observing the scientific experiment.,"khách quan, thờ ơ, lạnh nhạt","dispassionate, objective, aloof","engaged, partial, empathic"
deterrent,noun,c2,/dɪˈtɛrənt/,/dɪˈtɜːrənt/,Something that restrains or discourages,The threat of a large fine acts as a deterrent for littering.,"Chất răn đe, Yếu tố ngăn chặn, Thứ cản trở","impediment, disincentive, hindrance","incentive, catalyst, impetus"
diatribe,noun,c2,/ˈdaɪətraɪb/,/ˈdaɪətraɪb/,"Bitter, abusive attack or criticism; rant",The politician's speech quickly turned into a diatribe against his critics.,"Bài đả kích, Lời lẽ cay nghiệt, Cuộc công kích dữ dội","harangue, tirade, vituperation","panegyric, eulogy, laudation"
didactic,adjective,c2,/daɪˈdæktɪk/,/daɪˈdæktɪk/,"Intended to instruct; teaching, or teaching a moral lesson","The children's book had a didactic purpose, aiming to teach them about sharing.","Giáo huấn, Răn dạy, Hướng dẫn","pedagogical, instructive, edifying","unenlightening, obscurantist, amoral"
digress,verb,c2,/daɪˈɡrɛs/,/daɪˈɡrɛs/,Go off-topic when speaking or writing,"During his long speech, the speaker often digressed from the main topic.","lạc đề, nói lan man, đi chệch hướng","deviate, ramble, stray","adhere, concentrate, focus"
din,noun,c2,/dɪn/,/dɪn/,"Loud, confused noise, esp. for a long period of time",The constant din of construction outside made it impossible to concentrate on work.,"ầm ĩ, huyên náo, ồn ào","clamor, cacophony, hubbub","serenity, tranquility, quietude"
disabuse,verb,c2,/ˌdɪsəˈbjuːz/,/ˌdɪsəˈbjuːz/,Free someone from a mistake in thinking,I must disabuse you of the idea that success comes without effort.,"giải tỏa lầm tưởng, làm sáng tỏ, khai sáng","undeceive, enlighten, rectify","delude, mislead, deceive"
discerning,adjective,c2,/dɪˈsɜːnɪŋ/,/dɪˈsɜːrnɪŋ/,Having good judgment or insight; able to distinguish mentally,Only a discerning eye could spot the subtle differences in the counterfeit artwork.,"Sắc sảo, Tinh tường, Sáng suốt","astute, perceptive, judicious","indiscriminate, unperceptive, imprudent"
discrepancy,noun,c2,/dɪˈskrɛpənsi/,/dɪˈskrɛpənsi/,Difference or inconsistency,There was a significant discrepancy between the two reports regarding the project's budget.,"Sự không nhất quán, Sự chênh lệch, Sự sai lệch","disparity, divergence, incongruity","conformity, congruence, accordance"
discriminating,adjective,c2,/dɪˈskrɪmɪneɪtɪŋ/,/dɪˈskrɪmɪneɪtɪŋ/,"Judicious, discerning, having good judgment or insight",Her discriminating taste in wines meant she could identify even the subtlest notes.,"Tinh tế, Sáng suốt, Nhạy bén","discerning, judicious, sagacious","indiscriminate, injudicious, imprudent"
disingenuous,adjective,c2,/ˌdɪsɪnˈdʒɛnjuəs/,/ˌdɪsɪnˈdʒɛnjuəs/,"Insincere, not genuine",It was disingenuous of him to claim he knew nothing about the project when he had been involved from the start.,"Thiếu thành thật, Không chân thành, Giả tạo","duplicitous, mendacious, guileful","candid, unfeigned, ingenuous"
disinterested,adjective,c2,/dɪsˈɪntrəstɪd/,/dɪsˈɪntrəstɪd/,"Unbiased, impartial; not interested","A good arbitrator must be disinterested, ensuring that personal biases do not influence the outcome.","Khách quan, Vô tư, Công tâm","impartial, objective, detached","biased, prejudiced, partisan"
disjointed,adjective,c2,/dɪsˈdʒɔɪntɪd/,/dɪsˈdʒɔɪntɪd/,"Disconnected, not coherent, jerky; having the joints separated","The speaker's argument was disjointed and hard to follow, making it difficult to grasp his main point.","Rời rạc, Không mạch lạc, Đứt đoạn","incoherent, fragmented, desultory","coherent, integrated, seamless"
dismiss,verb,c2,/dɪsˈmɪs/,/dɪsˈmɪs/,"Allow to disperse or leave; fire from a job; put aside or reject, especially after only a brief consideration","She tried to dismiss his rude comments, but they still bothered her throughout the day.","Giải tán, Sa thải, Bỏ qua","rebuff, terminate, discount","acknowledge, embrace, retain"
dispassionate,adjective,c2,/dɪˈspæʃənət/,/dɪˈspæʃənət/,"Unbiased, not having a selfish or personal motivation; calm, lacking emotion","The scientist maintained a dispassionate approach, analyzing the data without personal bias.","Khách quan, Vô tư, Điềm tĩnh","objective, impartial, detached","biased, subjective, vehement"
dispatch,verb,c2,/dɪˈspætʃ/,/dɪˈspætʃ/,"Speed, promptness; send off or deal with in a speedy way",The manager decided to dispatch a team of technicians to fix the server issue immediately.,"Nhanh chóng, Điều động, Giải quyết nhanh","expedite, alacrity, celerity","procrastination, dilatoriness, lethargy"
disperse,verb,c2,/dɪˈspɜːs/,/dɪˈspɜːrs/,"Scatter, spread widely, cause to vanish",The rain began to disperse the large gathering in the park.,"Phân tán, Giải tán, Tiêu tan","Dissipate, Disseminate, Diffuse","Congregate, Amass, Consolidate"
disposition,noun,c2,/ˌdɪspəˈzɪʃən/,/ˌdɪspəˈzɪʃən/,A person's general or natural mood; tendency,"Despite the challenges, her optimistic disposition helped her stay positive.","Tính cách, Khuynh hướng, Bản tính","temperament, propensity, inclination","caprice, whim, inconstancy"
disquieting,adjective,c2,/dɪsˈkwaɪətɪŋ/,/dɪsˈkwaɪətɪŋ/,"Disturbing, causing anxiety",The sudden silence in the normally bustling house was disquieting.,"Gây lo lắng, Đáng lo ngại, Gây bất an","unnerving, unsettling, disconcerting","reassuring, comforting, soothing"
disseminate,verb,c2,/dɪˈsɛmɪneɪt/,/dɪˈsɛmɪneɪt/,"Scatter, spread about, broadcast",The news agency worked quickly to disseminate the breaking story across all its platforms.,"phổ biến, truyền bá, khuếch tán","propagate, promulgate, circulate","suppress, conceal, withhold"
dissent,verb,c2,/dɪˈsɛnt/,/dɪˈsɛnt/,"Disagree or take an opposing view, esp. in relation to a formal body such as a government, political party, or church; such a view",Several members of the committee chose to dissent from the majority decision.,"Phản đối, Bất đồng quan điểm, Chống đối","opposition, contention, dissension","consensus, concurrence, unanimity"
dissonance,noun,c2,/ˈdɪsənəns/,/ˈdɪsənəns/,"Harsh, inharmonious sound; cacophony; disagreement",There was a clear dissonance between the company's stated values and its actual workplace practices.,"Nghịch âm, Bất đồng, Mâu thuẫn","discord, incongruity, friction","concord, accord, consonance"
